lib,dtype,cfg,swizzle,raster,M,N,K,median_us,mean_us,min_us,tflops,clk_before,clk_after,verify,rel_l2,algo,desc,ERROR
cutlass,int8,2,0,H,16384,4096,4096,2136.58,2149.25,2126.91,257.3,1386,1386,PASS,1.66e-03,,2SM 256x128x128 cluster2x1x1,
cutlass,int8,0,16,H,16384,4096,4096,3027.15,3072.55,2998.24,181.6,1386,1386,PASS,1.66e-03,,1SM 128x128x128 cluster1x1x1,
cutlass,int8,0,0,H,16384,4096,4096,2796.54,2847.96,2785.44,196.6,1386,1386,PASS,1.66e-03,,1SM 128x128x128 cluster1x1x1,
cutlass,int8,7,16,H,16384,4096,4096,4320.22,4425.30,4171.78,127.3,1386,1386,PASS,1.66e-03,,1SM 64x128x128 cluster1x1x1 (small-M),
cutlass,int8,7,0,H,16384,4096,4096,4151.70,4378.88,4126.69,132.4,1386,1386,PASS,1.66e-03,,1SM 64x128x128 cluster1x1x1 (small-M),
cublaslt,bf16,,,,42240,4096,4096,10023.71,10047.30,9708.54,141.4,1386,1386,PASS,1.66e-03,66,,
cublaslt,fp8,,,,42240,4096,4096,5496.24,5513.34,5370.88,257.9,1386,1386,PASS,1.65e-03,66,,
cublaslt,int8,,,,42240,4096,4096,4903.94,4901.61,4779.94,289.0,1386,1386,PASS,0.00e+00,71,,
cublaslt,int8+rescale,,,,42240,4096,4096,8904.24,8874.81,8755.84,159.2,1386,1386,PASS,1.65e-03,71,,
cutlass,fp8,3,16,H,42240,4096,4096,5493.68,5495.48,5305.28,258.0,1386,1386,PASS,1.65e-03,,2SM 256x256x128 cluster2x1x1,
cutlass,fp8,3,0,H,42240,4096,4096,5087.36,5096.37,4625.44,278.6,1386,1386,PASS,1.65e-03,,2SM 256x256x128 cluster2x1x1,
cutlass,fp8,2,16,H,42240,4096,4096,6636.11,6709.90,6604.77,213.6,1386,1386,PASS,1.65e-03,,2SM 256x128x128 cluster2x1x1,
cutlass,fp8,2,0,H,42240,4096,4096,6010.85,6249.61,5989.34,235.8,1386,1386,PASS,1.65e-03,,2SM 256x128x128 cluster2x1x1,
cutlass,fp8,0,16,H,42240,4096,4096,8532.02,8248.60,7696.45,166.1,1386,1386,PASS,1.65e-03,,1SM 128x128x128 cluster1x1x1,
cutlass,fp8,0,0,H,42240,4096,4096,7933.46,7647.91,7003.14,178.7,1386,1386,PASS,1.65e-03,,1SM 128x128x128 cluster1x1x1,
cutlass,fp8,7,16,H,42240,4096,4096,11966.38,11653.57,10712.16,118.4,1386,1386,PASS,1.65e-03,,1SM 64x128x128 cluster1x1x1 (small-M),
cutlass,fp8,7,0,H,42240,4096,4096,11838.99,11508.70,10441.70,119.7,1386,1386,PASS,1.65e-03,,1SM 64x128x128 cluster1x1x1 (small-M),
cutlass,int8,3,16,H,42240,4096,4096,4592.59,4514.90,4286.34,308.6,1386,1386,PASS,1.66e-03,,2SM 256x256x128 cluster2x1x1,
cutlass,int8,3,0,H,42240,4096,4096,4225.52,4240.93,4052.99,335.4,1386,1386,PASS,1.66e-03,,2SM 256x256x128 cluster2x1x1,
cutlass,int8,2,16,H,42240,4096,4096,6635.36,6434.97,5977.06,213.6,1386,1386,PASS,1.66e-03,,2SM 256x128x128 cluster2x1x1,
cutlass,int8,2,0,H,42240,4096,4096,5992.93,5688.37,5303.30,236.5,1386,1386,PASS,1.66e-03,,2SM 256x128x128 cluster2x1x1,
cutlass,int8,0,16,H,42240,4096,4096,8522.74,8241.75,7675.84,166.3,1386,1386,PASS,1.66e-03,,1SM 128x128x128 cluster1x1x1,
cutlass,int8,0,0,H,42240,4096,4096,7946.34,7631.75,7010.43,178.4,1386,1386,PASS,1.66e-03,,1SM 128x128x128 cluster1x1x1,
cutlass,int8,7,16,H,42240,4096,4096,11991.54,11666.95,10735.65,118.2,1386,1386,PASS,1.66e-03,,1SM 64x128x128 cluster1x1x1 (small-M),
cutlass,int8,7,0,H,42240,4096,4096,11833.95,11482.94,10434.53,119.8,1386,1386,PASS,1.66e-03,,1SM 64x128x128 cluster1x1x1 (small-M),
cublaslt,bf16,,,,901,1024,4096,144.35,145.44,142.34,52.4,1386,1386,PASS,1.65e-03,66,,
cublaslt,fp8,,,,901,1024,4096,83.66,86.31,77.79,90.3,1386,1386,PASS,1.66e-03,66,,
cublaslt,int8,,,,901,1024,4096,89.10,92.12,87.65,84.8,1386,1386,PASS,0.00e+00,71,,
cublaslt,int8+rescale,,,,901,1024,4096,100.18,102.31,97.31,75.4,1386,1386,PASS,1.65e-03,71,,
cutlass,fp8,3,16,H,901,1024,4096,93.18,94.90,88.99,81.1,1386,1386,PASS,1.66e-03,,2SM 256x256x128 cluster2x1x1,
cutlass,fp8,3,0,H,901,1024,4096,92.11,93.90,89.09,82.1,1386,1386,PASS,1.66e-03,,2SM 256x256x128 cluster2x1x1,
cutlass,fp8,2,16,H,901,1024,4096,88.06,89.86,84.99,85.8,1386,1386,PASS,1.66e-03,,2SM 256x128x128 cluster2x1x1,
cutlass,fp8,2,0,H,901,1024,4096,84.03,86.15,81.86,89.9,1386,1386,PASS,1.66e-03,,2SM 256x128x128 cluster2x1x1,
cutlass,fp8,0,16,H,901,1024,4096,93.17,96.21,90.11,81.1,1386,1386,PASS,1.66e-03,,1SM 128x128x128 cluster1x1x1,
cutlass,fp8,0,0,H,901,1024,4096,97.86,99.08,93.95,77.2,1386,1386,PASS,1.66e-03,,1SM 128x128x128 cluster1x1x1,
cutlass,fp8,7,16,H,901,1024,4096,109.57,111.68,107.46,69.0,1386,1386,PASS,1.66e-03,,1SM 64x128x128 cluster1x1x1 (small-M),
cutlass,fp8,7,0,H,901,1024,4096,113.79,115.29,110.75,66.4,1386,1386,PASS,1.66e-03,,1SM 64x128x128 cluster1x1x1 (small-M),
cutlass,int8,3,16,H,901,1024,4096,91.15,93.22,87.17,82.9,1386,1386,PASS,1.65e-03,,2SM 256x256x128 cluster2x1x1,
cutlass,int8,3,0,H,901,1024,4096,88.06,89.46,85.82,85.8,1386,1386,PASS,1.65e-03,,2SM 256x256x128 cluster2x1x1,
cutlass,int8,2,16,H,901,1024,4096,88.61,89.75,83.14,85.3,1386,1386,PASS,1.65e-03,,2SM 256x128x128 cluster2x1x1,
cutlass,int8,2,0,H,901,1024,4096,88.03,89.43,83.74,85.9,1386,1386,PASS,1.65e-03,,2SM 256x128x128 cluster2x1x1,
cutlass,int8,0,16,H,901,1024,4096,94.21,96.98,90.18,80.2,1386,1386,PASS,1.65e-03,,1SM 128x128x128 cluster1x1x1,
cutlass,int8,0,0,H,901,1024,4096,99.39,101.57,98.27,76.0,1386,1386,PASS,1.65e-03,,1SM 128x128x128 cluster1x1x1,
cutlass,int8,7,16,H,901,1024,4096,110.59,111.69,108.51,68.3,1386,1386,PASS,1.65e-03,,1SM 64x128x128 cluster1x1x1 (small-M),
cutlass,int8,7,0,H,901,1024,4096,114.69,116.34,110.53,65.9,1386,1386,PASS,1.65e-03,,1SM 64x128x128 cluster1x1x1 (small-M),
cublaslt,bf16,,,,1802,1024,4096,192.51,195.37,190.40,78.5,1386,1386,PASS,1.65e-03,66,,
cublaslt,fp8,,,,1802,1024,4096,115.73,117.53,110.62,130.6,1386,1386,PASS,1.65e-03,66,,
cublaslt,int8,,,,1802,1024,4096,132.06,134.87,127.01,114.5,1386,1386,PASS,0.00e+00,71,,
cublaslt,int8+rescale,,,,1802,1024,4096,144.32,147.41,140.29,104.7,1386,1386,PASS,1.65e-03,71,,
cutlass,fp8,3,16,H,1802,1024,4096,118.78,121.60,114.91,127.3,1386,1386,PASS,1.66e-03,,2SM 256x256x128 cluster2x1x1,
cutlass,fp8,3,0,H,1802,1024,4096,128.50,130.05,123.94,117.6,1386,1386,PASS,1.66e-03,,2SM 256x256x128 cluster2x1x1,
cutlass,fp8,2,16,H,1802,1024,4096,122.86,125.32,119.90,123.0,1386,1386,PASS,1.66e-03,,2SM 256x128x128 cluster2x1x1,
cutlass,fp8,2,0,H,1802,1024,4096,129.06,130.46,126.98,117.1,1386,1386,PASS,1.66e-03,,2SM 256x128x128 cluster2x1x1,
cutlass,fp8,0,16,H,1802,1024,4096,130.64,132.99,127.01,115.7,1386,1386,PASS,1.66e-03,,1SM 128x128x128 cluster1x1x1,
cutlass,fp8,0,0,H,1802,1024,4096,141.31,141.91,137.47,107.0,1386,1386,PASS,1.66e-03,,1SM 128x128x128 cluster1x1x1,
cutlass,fp8,7,16,H,1802,1024,4096,163.89,165.42,160.64,92.2,1386,1386,PASS,1.66e-03,,1SM 64x128x128 cluster1x1x1 (small-M),
cutlass,fp8,7,0,H,1802,1024,4096,179.23,181.70,176.13,84.3,1386,1386,PASS,1.66e-03,,1SM 64x128x128 cluster1x1x1 (small-M),
