lib,dtype,cfg,swizzle,raster,flush,nw,M,N,K,median_us,mean_us,min_us,tflops,clk_before,clk_after,verify,rel_l2,algo,desc,ERROR
cutlass,int8,3,16,H,0,8,901,1024,4096,36.78,37.23,36.26,205.5,1386,1386,PASS,1.65e-03,,2SM 256x256x128 cluster2x1x1,
cutlass,int8,2,16,H,0,8,901,1024,4096,42.99,44.76,42.05,175.8,1386,1386,PASS,1.65e-03,,2SM 256x128x128 cluster2x1x1,
cutlass,int8,1,16,H,0,8,901,1024,4096,47.33,49.59,46.11,159.7,1386,1386,PASS,1.65e-03,,1SM 128x256x128 cluster1x1x1,
cutlass,int8,0,16,H,0,8,901,1024,4096,56.06,57.19,54.72,134.8,1386,1386,PASS,1.65e-03,,1SM 128x128x128 cluster1x1x1,
cutlass,int8,7,16,H,0,8,901,1024,4096,84.67,85.60,81.60,89.3,1386,1386,PASS,1.65e-03,,1SM 64x128x128 cluster1x1x1 (small-M),
cublaslt,bf16,,,,0,8,1517,1024,4096,81.79,95.18,79.68,155.6,1386,1386,PASS,1.65e-03,66,,
cublaslt,fp8,,,,0,8,1517,1024,4096,45.02,47.20,44.00,282.6,1386,1386,PASS,1.65e-03,66,,
cublaslt,int8,,,,0,8,1517,1024,4096,53.28,54.48,52.45,238.8,1386,1386,PASS,0.00e+00,71,,
cublaslt,int8+rescale,,,,0,8,1517,1024,4096,63.55,64.29,62.27,200.2,1386,1386,PASS,1.65e-03,71,,
cutlass,fp8,3,16,H,0,8,1517,1024,4096,49.15,56.85,48.61,258.9,1386,1386,PASS,1.66e-03,,2SM 256x256x128 cluster2x1x1,
cutlass,fp8,2,16,H,0,8,1517,1024,4096,65.44,65.76,64.45,194.5,1386,1386,PASS,1.66e-03,,2SM 256x128x128 cluster2x1x1,
cutlass,fp8,1,16,H,0,8,1517,1024,4096,63.14,64.11,61.02,201.6,1386,1386,PASS,1.66e-03,,1SM 128x256x128 cluster1x1x1,
cutlass,fp8,0,16,H,0,8,1517,1024,4096,83.92,84.61,81.82,151.6,1386,1386,PASS,1.66e-03,,1SM 128x128x128 cluster1x1x1,
cutlass,fp8,7,16,H,0,8,1517,1024,4096,112.54,113.25,111.30,113.1,1386,1386,PASS,1.66e-03,,1SM 64x128x128 cluster1x1x1 (small-M),
cutlass,int8,3,16,H,0,8,1517,1024,4096,51.17,51.65,50.72,248.7,1386,1386,PASS,1.65e-03,,2SM 256x256x128 cluster2x1x1,
cutlass,int8,2,16,H,0,8,1517,1024,4096,57.52,58.58,57.15,221.2,1386,1386,PASS,1.65e-03,,2SM 256x128x128 cluster2x1x1,
cutlass,int8,1,16,H,0,8,1517,1024,4096,69.41,70.32,67.10,183.3,1386,1386,PASS,1.65e-03,,1SM 128x256x128 cluster1x1x1,
cutlass,int8,0,16,H,0,8,1517,1024,4096,75.71,76.46,74.34,168.1,1386,1386,PASS,1.65e-03,,1SM 128x128x128 cluster1x1x1,
cutlass,int8,7,16,H,0,8,1517,1024,4096,124.42,124.57,122.78,102.3,1386,1386,PASS,1.65e-03,,1SM 64x128x128 cluster1x1x1 (small-M),
cublaslt,bf16,,,,0,8,1802,1024,4096,99.12,106.41,95.94,152.5,1386,1386,PASS,1.65e-03,66,,
cublaslt,fp8,,,,0,8,1802,1024,4096,51.20,59.31,50.98,295.2,1386,1386,PASS,1.65e-03,66,,
cublaslt,int8,,,,0,8,1802,1024,4096,67.46,69.64,65.44,224.1,1386,1386,PASS,0.00e+00,71,,
cublaslt,int8+rescale,,,,0,8,1802,1024,4096,83.90,84.10,81.66,180.2,1386,1386,PASS,1.65e-03,71,,
cutlass,fp8,3,16,H,0,8,1802,1024,4096,62.19,75.70,60.64,243.1,1386,1386,PASS,1.66e-03,,2SM 256x256x128 cluster2x1x1,
cutlass,fp8,2,16,H,0,8,1802,1024,4096,84.24,84.44,82.75,179.4,1386,1386,PASS,1.66e-03,,2SM 256x128x128 cluster2x1x1,
cutlass,fp8,1,16,H,0,8,1802,1024,4096,71.23,71.58,69.18,212.2,1386,1386,PASS,1.66e-03,,1SM 128x256x128 cluster1x1x1,
cutlass,fp8,0,16,H,0,8,1802,1024,4096,104.42,106.13,103.81,144.8,1386,1386,PASS,1.66e-03,,1SM 128x128x128 cluster1x1x1,
